level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
4376,2017-05-25,81.4,81.56,81.22,81.35,947670,May,Thursday,2017,NVS,-0.0006142506142507539
4375,2017-05-24,81.21,81.53,80.87,81.4,2233568,May,Wednesday,2017,NVS,0.004194423883543096
4374,2017-05-23,81.12,81.43,80.89,81.06,2479805,May,Tuesday,2017,NVS,-0.002829376307048886
4373,2017-05-22,81.45,81.79,81.1,81.29,5882923,May,Monday,2017,NVS,0.010818204426759568
4372,2017-05-19,80.64,80.83,80.34,80.42,4565158,May,Friday,2017,NVS,0.004245754245754289
4371,2017-05-18,79.86,80.63,79.56,80.08,6800668,May,Thursday,2017,NVS,0.002754820936639104
4370,2017-05-17,80.86,81.45,79.82,79.86,4422791,May,Wednesday,2017,NVS,-0.012367054167697254
4369,2017-05-16,81.93,81.94,80.57,80.86,4580041,May,Tuesday,2017,NVS,0.0034748076445768323
4368,2017-05-15,80.37,80.78,80.34,80.58,2183281,May,Monday,2017,NVS,0.001242544731610267
4367,2017-05-12,80.09,80.73,79.96,80.48,3170830,May,Friday,2017,NVS,0.022357723577235842
4366,2017-05-11,78.26,78.85,78.26,78.72,1784266,May,Thursday,2017,NVS,-0.0013954078396549465
4365,2017-05-10,78.79,78.88,78.36,78.83,1566871,May,Wednesday,2017,NVS,0.003948038716250666
4364,2017-05-09,78.56,78.87,78.3,78.52,3571697,May,Tuesday,2017,NVS,0.007958921694479978
4363,2017-05-08,78.23,78.27,77.8,77.9,2044281,May,Monday,2017,NVS,0.001028013364173895
4362,2017-05-05,77.89,77.94,77.52,77.82,1398113,May,Friday,2017,NVS,0.00012851818532310638
4361,2017-05-04,77.54,77.81,77.39,77.81,1674783,May,Thursday,2017,NVS,0.0028354169351720434
4360,2017-05-03,77.83,77.83,77.22,77.59,1936875,May,Wednesday,2017,NVS,-0.00449063382088779
4359,2017-05-02,77.58,77.95,77.41,77.94,1895621,May,Tuesday,2017,NVS,0.012207792207792178
4358,2017-05-01,76.99,77.22,76.9,77.0,1241796,May,Monday,2017,NVS,-0.0003894586524730772
4357,2017-04-28,76.65,77.04,76.6,77.03,1772038,April,Friday,2017,NVS,-0.0003893070334804197
4356,2017-04-27,77.04,77.51,76.99,77.06,3748854,April,Thursday,2017,NVS,0.00929927963326795
4355,2017-04-26,75.64,76.65,75.62,76.35,1855034,April,Wednesday,2017,NVS,0.0014428121720881349
4354,2017-04-25,76.29,76.57,75.81,76.24,3570731,April,Tuesday,2017,NVS,0.021846937407854115
4353,2017-04-24,74.42,74.65,74.06,74.61,2979106,April,Monday,2017,NVS,0.016485013623978115
4352,2017-04-21,73.67,73.83,73.31,73.4,2326290,April,Friday,2017,NVS,-0.002988318391741359
4351,2017-04-20,73.89,73.91,73.44,73.62,3940013,April,Thursday,2017,NVS,0.012097882870497796
4350,2017-04-19,72.97,73.25,72.67,72.74,1415356,April,Wednesday,2017,NVS,-0.00260523789935571
4349,2017-04-18,73.18,73.2,72.72,72.93,2365057,April,Tuesday,2017,NVS,-0.005454793399699871
4348,2017-04-17,73.08,73.52,73.0,73.33,1315268,April,Monday,2017,NVS,0.002460697197539201
