Date,Price,Open,High,Low,Vol.,Change %,Change
21-Apr-14,"1,871.89","1,865.79","1,871.89","1,863.18",0,0.38,0.003775103
17-Apr-14,"1,864.85","1,861.73","1,869.63","1,856.72",0,0.14,0.001363898
16-Apr-14,"1,862.31","1,846.01","1,862.31","1,846.01",0,1.05,0.010488448
15-Apr-14,"1,842.98","1,831.45","1,844.02","1,816.29",0,0.68,0.00675731
14-Apr-14,"1,830.61","1,818.18","1,834.19","1,815.80",0,0.82,0.008217262
11-Apr-14,"1,815.69","1,830.65","1,835.07","1,814.36",0,-0.95,-0.009486765
10-Apr-14,"1,833.08","1,872.28","1,872.53","1,830.87",0,-2.09,-0.020884744
9-Apr-14,"1,872.18","1,852.64","1,872.43","1,852.38",0,1.09,0.010918162
8-Apr-14,"1,851.96","1,845.48","1,854.95","1,837.49",0,0.38,0.003750596
7-Apr-14,"1,845.04","1,863.92","1,864.04","1,841.48",0,-1.08,-0.010750151
4-Apr-14,"1,865.09","1,890.25","1,897.28","1,863.26",0,-1.25,-0.01253726
3-Apr-14,"1,888.77","1,891.43","1,893.80","1,882.65",0,-0.11,-0.001126448
2-Apr-14,"1,890.90","1,886.61","1,893.17","1,883.79",0,0.29,0.002853324
1-Apr-14,"1,885.52","1,873.96","1,885.84","1,873.96",0,0.7,0.00703932
31-Mar-14,"1,872.34","1,859.16","1,875.18","1,859.16",0,0.79,0.007924118
28-Mar-14,"1,857.62","1,850.07","1,866.63","1,850.07",0,0.46,0.004640246
27-Mar-14,"1,849.04","1,852.11","1,855.55","1,842.11",0,-0.19,-0.001900073
26-Mar-14,"1,852.56","1,867.09","1,875.92","1,852.56",0,-0.7,-0.007000354
25-Mar-14,"1,865.62","1,859.48","1,871.87","1,855.96",0,0.44,0.004403911
24-Mar-14,"1,857.44","1,867.67","1,873.34","1,849.69",0,-0.49,-0.004864668
21-Mar-14,"1,866.52","1,874.53","1,883.97","1,863.46",0,-0.29,-0.002932677
20-Mar-14,"1,872.01","1,860.09","1,873.49","1,854.63",0,0.6,0.00604051
19-Mar-14,"1,860.77","1,872.25","1,874.14","1,850.35",0,-0.61,-0.00613166
18-Mar-14,"1,872.25","1,858.92","1,873.76","1,858.92",0,0.72,0.007219595
17-Mar-14,"1,858.83","1,842.81","1,862.30","1,842.81",0,0.96,0.009613661
14-Mar-14,"1,841.13","1,845.07","1,852.44","1,839.57",0,-0.28,-0.002821799
13-Mar-14,"1,846.34","1,869.06","1,874.40","1,841.86",0,-1.17,-0.011701103
12-Mar-14,"1,868.20","1,866.15","1,868.38","1,854.38",0,0.03,0.0003052
11-Mar-14,"1,867.63","1,878.26","1,882.35","1,863.88",0,-0.51,-0.005082118
10-Mar-14,"1,877.17","1,877.86","1,877.87","1,867.04",0,-0.05,-0.000463249
7-Mar-14,"1,878.04","1,878.52","1,883.57","1,870.56",0,0.05,0.000538084
6-Mar-14,"1,877.03","1,874.18","1,881.94","1,874.18",0,0.17,0.001718424
